source_season_year,source_playerid,source_name,canonical_playerid,canonical_season_year,canonical_name,match_score,confirmed
2022,333cd52d-4c2e-454a-8b0b-ae3101020183,Ngatungane Punivai,08986187-ca7e-40c1-87f8-b3d00159d3b2,2026,Ngantungane Punivai,97.1,Y
2022,4d4d8386-7a1b-45ad-91bc-ae31010189b5,Will Harrison,551c560a-2c63-4918-a0df-b3d0015a0145,2026,Will Harris,90.9,N
2022,6fd0aeaf-f0bd-456f-8a50-ae31010e7d38,Matthew Philip,1bb8cd93-b535-47f0-8a65-b3d0016713fc,2026,Matt Philip,87.0,Y
2022,a6dd6ca0-f324-4b49-ad90-ae31010d59b7,Tuaina Tualima,c78fe1c0-f6b5-435a-8507-b3d0015e9b2b,2026,Tuaina Taii Tualima,86.7,Y
2022,db3ae247-01bf-4fd3-87ab-ae310101d368,William Harris,551c560a-2c63-4918-a0df-b3d0015a0145,2026,Will Harris,87.0,N
2023,33861bec-6054-4cf2-a79f-af91006211ca,Joshua Moorby,03d9d4f4-bee2-4cbb-b279-b3d0016702d8,2026,Josh Moorby,90.9,Y
2023,43c4a27b-35dc-46e2-9a46-af9100644bd6,Daniel Sinkinson,2f042d07-5d4b-4c41-8d8d-b41f011b14e0,2026,Dan Sinkinson,88.9,Y
2023,860253cd-12f6-4fea-9dcf-afcc00aa4c18,Kemu Valentini,c7e92112-b29d-4855-adc0-b3d00166c59d,2026,Kemu Valetini,96.0,Y
2023,a299e9c2-b14b-4d98-a5ba-af910063a3e1,Ngatungane Punivai,08986187-ca7e-40c1-87f8-b3d00159d3b2,2026,Ngantungane Punivai,97.1,Y
2023,c76dd98f-f6c1-4459-b10d-af9100632e2a,Will Harrison,551c560a-2c63-4918-a0df-b3d0015a0145,2026,Will Harris,90.9,N
2023,c88fa446-0c71-4aa3-9409-af91006458bf,Hary Wilson,0cf615c1-fe37-4622-8fc5-b3d00159c447,2026,Harry Wilson,95.2,N
2023,edb11c6e-aa08-451e-b5ae-afb700a7e84e,Phillip Baselala,3b7e4c50-76f1-47fa-8dfa-b3d0015ea1a2,2026,Philip Baselala,96.6,Y
2024,26bfa076-22cc-4e99-a58f-b0f900c62972,Will Harrison,551c560a-2c63-4918-a0df-b3d0015a0145,2026,Will Harris,90.9,N
2024,29aea3a3-b506-43f0-8b42-b0f900c630bc,Ngatungane Punivai,08986187-ca7e-40c1-87f8-b3d00159d3b2,2026,Ngantungane Punivai,97.1,Y
2024,6ef7ab23-7c52-4a4b-b63c-b0f700ff45db,Joshua Moorby,03d9d4f4-bee2-4cbb-b279-b3d0016702d8,2026,Josh Moorby,90.9,Y
2024,899e2f77-414d-4eef-93a2-b0f900c2d1e2,Daniel Sinkinson,2f042d07-5d4b-4c41-8d8d-b41f011b14e0,2026,Dan Sinkinson,88.9,Y
2025,39e01d95-5bb1-4f88-a8e1-b25e01419351,Ngatungane Punivai,08986187-ca7e-40c1-87f8-b3d00159d3b2,2026,Ngantungane Punivai,97.1,Y
2025,8049f1be-5739-4fcc-a0cb-b25e0142ae9f,Leafi Talatiana,d41ab125-6641-4b9b-aaf8-b3d0015e93f5,2026,Leafi Talataina,92.9,Y
2025,d17b12b9-a0e7-4adb-97c5-b25e01420832,Clement Halaholo,6a8b475c-bcc0-48f1-b319-b3ee0105fff7,2026,Clem Halaholo,88.9,Y
2025,fd169c2d-e662-4f97-b08a-b25e0142c7ed,Nick Champion de Crespigny,8cdd57f9-2857-4f03-a232-b3d0015e5b6a,2026,Nicholas Champion de Crespigny,88.0,Y
